Date,Close
5/1/15,65.07
5/4/15,65.29
5/5/15,64.5
5/6/15,63.61
5/7/15,64.71
5/8/15,65.94
5/11/15,66.03
5/12/15,65.33
5/13/15,63.73
5/14/15,63.22
5/15/15,66.53
5/18/15,67.85
5/19/15,69.08
5/20/15,68.21
5/21/15,67.66
5/22/15,68.11
5/26/15,67.33
5/27/15,67.8
5/28/15,68.04
5/29/15,66.95
6/1/15,66.81
6/2/15,68.49
6/3/15,69.68
6/4/15,69.24
6/5/15,69.25
6/8/15,68.97
6/9/15,69.13
6/10/15,68.9
6/11/15,68.92
6/12/15,69.61
6/15/15,68.98
6/16/15,68.86
6/17/15,70.05
6/18/15,70.64
6/19/15,69.85
6/22/15,69.9
6/23/15,70.11
6/24/15,69.9
6/25/15,69.17
6/26/15,69.85
6/29/15,67.09
6/30/15,67.47
7/1/15,67.71
7/2/15,67.44
7/6/15,67.5
7/7/15,68.02
7/8/15,66.18
7/9/15,65.78
7/10/15,66.48
7/13/15,66.71
7/14/15,66.73
7/15/15,72.01
7/16/15,72.8
7/17/15,72.31
7/20/15,72.14
7/21/15,71.67
7/22/15,71.91
7/23/15,71.21
7/24/15,69.94
7/27/15,69.95
7/28/15,68.88
7/29/15,69.19
7/30/15,69.33
7/31/15,69.06
8/3/15,68.21
8/4/15,68.57
8/5/15,68.91
8/6/15,67.45
8/7/15,66.9
8/10/15,67.38
8/11/15,67.53
8/12/15,64.11
8/13/15,62.98
8/14/15,63.36
8/17/15,62.95
8/18/15,62.67
8/19/15,62.39
8/20/15,61.44
8/21/15,59.19
8/24/15,57.12
8/25/15,56.77
8/26/15,58.72
8/27/15,59.05
8/28/15,59
8/31/15,58.61
9/1/15,57.95
9/2/15,58.62
9/3/15,59.28
9/4/15,58.4
9/8/15,59.17
9/9/15,58.85
9/10/15,58.39
9/11/15,58.19
9/14/15,57.86
9/15/15,57.17
9/16/15,57.28
9/17/15,56
9/18/15,54.06
9/21/15,53.91
9/22/15,53.44
9/23/15,52.85
9/24/15,52.08
9/25/15,52.51
9/28/15,50.29
9/29/15,50.39
9/30/15,51.32
10/1/15,51.05
10/2/15,51.84
10/5/15,51.71
10/6/15,51.39
10/7/15,51.13
10/8/15,51.47
10/9/15,51
10/12/15,50.36
10/13/15,50.26
10/14/15,49.77
10/15/15,50.46
10/16/15,50.47
10/19/15,50.71
10/20/15,50.63
10/21/15,50.33
10/22/15,49.88
10/23/15,47.97
10/26/15,48.66
10/27/15,49.05
10/28/15,49.87
10/29/15,49.7
10/30/15,50.98
11/2/15,51.34
11/3/15,51.18
11/4/15,50.44
11/5/15,50.45
11/6/15,48.9
11/9/15,46.24
11/10/15,47.02
11/11/15,40.44
11/12/15,40.82
11/13/15,39.1
11/16/15,38.62
11/17/15,38.03
11/18/15,38.92
11/19/15,38.54
11/20/15,38.6
11/23/15,40.04
11/24/15,39.63
11/25/15,40.38
11/27/15,39.99
11/30/15,39.08
12/1/15,39.33
12/2/15,38.44
12/3/15,38.98
12/4/15,39.32
12/7/15,38.55
12/8/15,38.44
12/9/15,38.15
12/10/15,37.88
12/11/15,36.76
12/14/15,36.37
12/15/15,35.94
12/16/15,35.87
12/17/15,34.5
12/18/15,34.87
12/21/15,35.02
12/22/15,35.43
12/23/15,36.06
12/24/15,35.48
12/28/15,35.5
12/29/15,35.7
12/30/15,35.38
12/31/15,34.98
1/4/16,35.79
1/5/16,36.96
1/6/16,36.15
1/7/16,36.89
1/8/16,35.89
1/11/16,38.82
1/12/16,38.61
1/13/16,38.64
1/14/16,37.64
1/15/16,37.88
1/19/16,38.76
1/20/16,39.73
1/21/16,40.61
1/22/16,41.35
1/25/16,39.32
1/26/16,40.18
1/27/16,40.29
1/28/16,39.57
1/29/16,40.41
2/1/16,40.91
2/2/16,40.9
2/3/16,41.62
2/4/16,40.74
2/5/16,40.26
2/8/16,39.65
2/9/16,39.51
2/10/16,38.81
2/11/16,37.9
2/12/16,39.25
2/16/16,40.47
2/17/16,41.1
2/18/16,41.13
2/19/16,40.23
2/22/16,41.06
2/23/16,42.31
2/24/16,42.85
2/25/16,43.37
2/26/16,43.43
2/29/16,43.21
3/1/16,43.7
3/2/16,43.96
3/3/16,44.09
3/4/16,44.58
3/7/16,44.62
3/8/16,44.04
3/9/16,44.31
3/10/16,44.2
3/11/16,44.35
3/14/16,43.87
3/15/16,43.11
3/16/16,43.5
3/17/16,43.97
3/18/16,44.87
3/21/16,44.15
3/22/16,43.78
3/23/16,43.42
3/24/16,43.48
3/28/16,44.38
3/29/16,44.42
3/30/16,44.1
3/31/16,44.09
4/1/16,42.96
4/4/16,42.16
4/5/16,41.47
4/6/16,41.57
4/7/16,40.62
4/8/16,39.68
4/11/16,39.82
4/12/16,40.07
4/13/16,40.33
4/14/16,39.66
4/15/16,40.64
4/18/16,40.72
4/19/16,41.15
4/20/16,41.36
4/21/16,41.55
4/22/16,40.96
4/25/16,40.33
4/26/16,40.54
4/27/16,41.01
4/28/16,40.6
4/29/16,39.59
5/2/16,39.91
5/3/16,39.49
5/4/16,38.68
5/5/16,37.9
5/6/16,37.65
5/9/16,37.74
5/10/16,36.99
5/11/16,31.38
5/12/16,31.21
5/13/16,31.22
5/16/16,30.73
5/17/16,30.4
5/18/16,30.07
5/19/16,30.87
5/20/16,31.29
5/23/16,31.29
5/24/16,31.19
5/25/16,31.81
5/26/16,31.57
5/27/16,32.72
5/31/16,33.21
6/1/16,33.03
6/2/16,34.35
6/3/16,34.33
6/6/16,34.28
6/7/16,34.32
6/8/16,34.26
6/9/16,33.6
6/10/16,33.24
6/13/16,31.6
6/14/16,31.31
6/15/16,31.94
6/16/16,32.35
6/17/16,33.23
6/20/16,33.21
6/21/16,33.04
6/22/16,32.81
6/23/16,33.38
6/24/16,32.08
6/27/16,31.71
6/28/16,32.43
6/29/16,33.32
6/30/16,33.61
7/1/16,33.6
7/5/16,33.1
7/6/16,33.61
7/7/16,33.61
7/8/16,34.36
7/11/16,34.86
7/12/16,35.65
7/13/16,35.08
7/14/16,34.83
7/15/16,34.68
7/18/16,35.25
7/19/16,34.87
7/20/16,35.3
7/21/16,35.49
7/22/16,35.28
7/25/16,36.46
7/26/16,36.82
7/27/16,35.7
7/28/16,35.87
7/29/16,35.83
8/1/16,35.32
8/2/16,32.76
8/3/16,33.43
8/4/16,33.69
8/5/16,34.11
8/8/16,34.75
8/9/16,33.78
8/10/16,34
8/11/16,39.81
8/12/16,39.82
8/15/16,40.46
8/16/16,40.7
8/17/16,40.41
8/18/16,40.25
8/19/16,40.3
8/22/16,39.35
8/23/16,40
8/24/16,39.73
8/25/16,39.25
8/26/16,38.56
8/29/16,38.69
8/30/16,38.19
8/31/16,36.18
9/1/16,36.34
9/2/16,36.64
9/6/16,36.15
9/7/16,37.19
9/8/16,36
9/9/16,35.48
9/12/16,35.65
9/13/16,34.68
9/14/16,35.21
9/15/16,35.56
9/16/16,35.54
9/19/16,35.22
9/20/16,34.96
9/21/16,36.01
9/22/16,36.26
9/23/16,36.62
9/26/16,36.24
9/27/16,36.6
9/28/16,36.1
9/29/16,36.05
9/30/16,37.05
10/3/16,36.28
10/4/16,36.56
10/5/16,37.36
10/6/16,37.68
10/7/16,38.04
10/10/16,37.54
10/11/16,37.24
10/12/16,37.54
10/13/16,36.8
10/14/16,35.57
10/17/16,35.09
10/18/16,35.2
10/19/16,35.59
10/20/16,35.87
10/21/16,36.51
10/24/16,36.64
10/25/16,35.93
10/26/16,35.95
10/27/16,35.3
10/28/16,35.56
10/31/16,36.49
11/1/16,36.84
11/2/16,36.89
11/3/16,36.89
11/4/16,36.85
11/7/16,37.77
11/8/16,37.87
11/9/16,38.38
11/10/16,40.53
11/11/16,41.36
11/14/16,41.56
11/15/16,41.39
11/16/16,41.84
11/17/16,43.05
11/18/16,43.03
11/21/16,43.19
11/22/16,44.46
11/23/16,44.91
11/25/16,44.14
11/28/16,43.13
11/29/16,42.49
11/30/16,42.2
12/1/16,42.42
12/2/16,42.48
12/5/16,41.91
12/6/16,42.4
12/7/16,43.18
12/8/16,43.07
12/9/16,42.44
12/12/16,40.46
12/13/16,40.71
12/14/16,40.16
12/15/16,40.14
12/16/16,37.47
12/19/16,37
12/20/16,37.95
12/21/16,37.51
12/22/16,36.17
12/23/16,36.48
12/27/16,36.53
12/28/16,36.28
12/29/16,36.29
12/30/16,35.81
1/3/17,35.23
1/4/17,35.84
1/5/17,30.86
1/6/17,30.82
1/9/17,30.46
1/10/17,30.3
1/11/17,29.95
1/12/17,29.98
1/13/17,29.88
1/17/17,29.9
1/18/17,29.44
1/19/17,29.45
1/20/17,29.7
1/23/17,29.63
1/24/17,29.98
1/25/17,30.15
1/26/17,29.92
1/27/17,29.11
1/30/17,29.52
