Date,Close
5/1/15,64.41
5/4/15,65.11
5/5/15,64.43
5/6/15,64.99
5/7/15,64.15
5/8/15,64.46
5/11/15,64.81
5/12/15,65.3
5/13/15,64.97
5/14/15,65.1
5/15/15,64.15
5/18/15,64.97
5/19/15,66.38
5/20/15,65.66
5/21/15,65.65
5/22/15,65.52
5/26/15,65.32
5/27/15,65.33
5/28/15,65.2
5/29/15,64.68
6/1/15,64.59
6/2/15,65.19
6/3/15,66.19
6/4/15,65.73
6/5/15,66.94
6/8/15,66.96
6/9/15,67.7
6/10/15,68.67
6/11/15,68.77
6/12/15,68.71
6/15/15,68.66
6/16/15,69.43
6/17/15,68.46
6/18/15,68.77
6/19/15,69.43
6/22/15,70
6/23/15,70.3
6/24/15,69.89
6/25/15,70.53
6/26/15,70.78
6/29/15,69.86
6/30/15,69.58
7/1/15,70.59
7/2/15,69.66
7/6/15,68.86
7/7/15,67.52
7/8/15,66.67
7/9/15,67.36
7/10/15,67.95
7/13/15,68.87
7/14/15,68.81
7/15/15,69.12
7/16/15,69.18
7/17/15,67.94
7/20/15,67.62
7/21/15,67.56
7/22/15,68.1
7/23/15,67.03
7/24/15,65.93
7/27/15,64.61
7/28/15,65.02
7/29/15,67.33
7/30/15,66.76
7/31/15,66.46
8/3/15,66.52
8/4/15,66.79
8/5/15,67.35
8/6/15,66.94
8/7/15,66.36
8/10/15,67.76
8/11/15,66.86
8/12/15,65.26
8/13/15,65.51
8/14/15,66.32
8/17/15,66.18
8/18/15,65.97
8/19/15,64.82
8/20/15,62.88
8/21/15,61.82
8/24/15,58.98
8/25/15,57.09
8/26/15,59.17
8/27/15,61.43
8/28/15,62.38
8/31/15,63.28
9/1/15,60.55
9/2/15,61.66
9/3/15,62.57
9/4/15,62.32
9/8/15,63.89
9/9/15,63.44
9/10/15,63.81
9/11/15,63.3
9/14/15,63.42
9/15/15,64.01
9/16/15,64.54
9/17/15,63.25
9/18/15,61.75
9/21/15,62.85
9/22/15,62.29
9/23/15,62.41
9/24/15,62.73
9/25/15,63.25
9/28/15,62.69
9/29/15,63.63
9/30/15,64.71
10/1/15,63.43
10/2/15,62.79
10/5/15,63.91
10/6/15,64.74
10/7/15,66.07
10/8/15,66.23
10/9/15,65.08
10/12/15,65.41
10/13/15,65
10/14/15,62.81
10/15/15,63.46
10/16/15,63.11
10/19/15,63.16
10/20/15,63.63
10/21/15,62.34
10/22/15,63.13
10/23/15,64.35
10/26/15,63.86
10/27/15,63.15
10/28/15,66.46
10/29/15,67.5
10/30/15,67.18
11/2/15,69.05
11/3/15,69.18
11/4/15,70.24
11/5/15,71.91
11/6/15,72.92
11/9/15,72.27
11/10/15,71.05
11/11/15,70.44
11/12/15,68.96
11/13/15,67.93
11/16/15,68.64
11/17/15,68.49
11/18/15,69.62
11/19/15,68.88
11/20/15,69.1
11/23/15,69.1
11/24/15,68.8
11/25/15,68.8
11/27/15,68.92
11/30/15,68.85
12/1/15,68.99
12/2/15,67.6
12/3/15,67.05
12/4/15,68.38
12/7/15,66.16
12/8/15,64.46
12/9/15,63.74
12/10/15,64.16
12/11/15,62.46
12/14/15,61.2
12/15/15,62.25
12/16/15,61.84
12/17/15,61.18
12/18/15,58.95
12/21/15,59.12
12/22/15,59.72
12/23/15,61.18
12/24/15,61.03
12/28/15,60.43
12/29/15,61.26
12/30/15,60.4
12/31/15,59.79
1/4/16,58.05
1/5/16,57.39
1/6/16,56.69
1/7/16,56.21
1/8/16,55.35
1/11/16,54.96
1/12/16,54.56
1/13/16,50.02
1/14/16,49.57
1/15/16,47.57
1/19/16,46.76
1/20/16,46.01
1/21/16,45.62
1/22/16,47.03
1/25/16,45.14
1/26/16,46.91
1/27/16,46.96
1/28/16,49.33
1/29/16,50.01
2/1/16,49.13
2/2/16,47.95
2/3/16,49.38
2/4/16,50.25
2/5/16,49.45
2/8/16,48.42
2/9/16,48.33
2/10/16,48.3
2/11/16,46.73
2/12/16,48.43
2/16/16,50.19
2/17/16,50.83
2/18/16,50.06
2/19/16,50.61
2/22/16,51.73
2/23/16,49.91
2/24/16,49.44
2/25/16,49.38
2/26/16,50.37
2/29/16,48.87
3/1/16,50.39
3/2/16,52.84
3/3/16,54.53
3/4/16,57.04
3/7/16,57.23
3/8/16,54.84
3/9/16,53.9
3/10/16,55.22
3/11/16,57.35
3/14/16,57.7
3/15/16,56.18
3/16/16,56.02
3/17/16,58.57
3/18/16,58.59
3/21/16,58.56
3/22/16,58.05
3/23/16,56.68
3/24/16,56.77
3/28/16,56.84
3/29/16,55.75
3/30/16,55.9
3/31/16,54.62
4/1/16,53.27
4/4/16,53.52
4/5/16,52.48
4/6/16,53.32
4/7/16,51.77
4/8/16,52.07
4/11/16,52.16
4/12/16,53.68
4/13/16,56.92
4/14/16,57.15
4/15/16,56.56
4/18/16,57.28
4/19/16,59.18
4/20/16,60.52
4/21/16,60.36
4/22/16,61.49
4/25/16,60.42
4/26/16,61.76
4/27/16,60.89
4/28/16,59.74
4/29/16,60.18
5/2/16,59.8
5/3/16,58.53
5/4/16,57.22
5/5/16,57.46
5/6/16,57.46
5/9/16,57.58
5/10/16,59.27
5/11/16,58.9
5/12/16,58.88
5/13/16,57.57
5/16/16,58.71
5/17/16,58.88
5/18/16,60.97
5/19/16,60.02
5/20/16,60.84
5/23/16,60.84
5/24/16,62.3
5/25/16,63.39
5/26/16,62.84
5/27/16,63.55
5/31/16,63.74
6/1/16,63.59
6/2/16,63.67
6/3/16,63.64
6/6/16,64.64
6/7/16,63.88
6/8/16,63.55
6/9/16,62.56
6/10/16,60.91
6/13/16,60.17
6/14/16,59.17
6/15/16,59.1
6/16/16,58.65
6/17/16,59.52
6/20/16,60.26
6/21/16,60.41
6/22/16,60.56
6/23/16,62.76
6/24/16,59.44
6/27/16,56.78
6/28/16,58.51
6/29/16,61.05
6/30/16,62.7
7/1/16,61.43
7/5/16,58.87
7/6/16,59.41
7/7/16,60.5
7/8/16,61.12
7/11/16,61.8
7/12/16,63.8
7/13/16,63.73
7/14/16,64.8
7/15/16,65.28
7/18/16,65.22
7/19/16,65.54
7/20/16,65.54
7/21/16,65.67
7/22/16,66.09
7/25/16,66.32
7/26/16,67.07
7/27/16,66.88
7/28/16,66.54
7/29/16,65.23
8/1/16,64.35
8/2/16,63.64
8/3/16,64.71
8/4/16,64.6
8/5/16,67.08
8/8/16,67.23
8/9/16,67.39
8/10/16,65.97
8/11/16,66.43
8/12/16,66.11
8/15/16,66.86
8/16/16,66.91
8/17/16,67.05
8/18/16,67.54
8/19/16,67.54
8/22/16,67.7
8/23/16,67.9
8/24/16,68.13
8/25/16,68.54
8/26/16,69.03
8/29/16,69.26
8/30/16,69.19
8/31/16,69.07
9/1/16,68.58
9/2/16,69.33
9/6/16,67.95
9/7/16,68.89
9/8/16,69.31
9/9/16,69.11
9/12/16,68.58
9/13/16,67.72
9/14/16,67.06
9/15/16,67.25
9/16/16,66.59
9/19/16,66.95
9/20/16,67.2
9/21/16,66.97
9/22/16,67.95
9/23/16,67.7
9/26/16,66.25
9/27/16,67.08
9/28/16,68.24
9/29/16,66.69
9/30/16,68.97
10/3/16,68.65
10/4/16,68.75
10/5/16,70.8
10/6/16,70.48
10/7/16,70.42
10/10/16,70.37
10/11/16,70.05
10/12/16,69.94
10/13/16,68.14
10/14/16,68.95
10/17/16,68.73
10/18/16,69.83
10/19/16,71.36
10/20/16,70.25
10/21/16,70.55
10/24/16,71.58
10/25/16,70.9
10/26/16,71.32
10/27/16,71.65
10/28/16,70.42
10/31/16,71.02
11/1/16,70.67
11/2/16,69.75
11/3/16,70.27
11/4/16,70.19
11/7/16,71.5
11/8/16,70.97
11/9/16,74.1
11/10/16,76.83
11/11/16,78.53
11/14/16,79.79
11/15/16,80.89
11/16/16,78.97
